,Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y
0,2007-11-09,1467.589966,1474.089966,1448.51001,1453.699951,1453.699951,4587050000,5.4325,5.5275,5.2875,5.45,4.93734,4520400
1,2007-11-12,1453.660034,1464.939941,1438.530029,1439.180054,1439.180054,4192520000,5.5375,5.85,5.5025,5.7825,5.238563,5638800
2,2007-11-13,1441.349976,1481.369995,1441.349976,1481.050049,1481.050049,4141310000,5.77,6.1875,5.77,6.15,5.571493,4728400
3,2007-11-14,1483.400024,1492.140015,1466.469971,1470.579956,1470.579956,4031470000,6.1375,6.3675,5.9275,6.1125,5.537521,4833600
4,2007-11-15,1468.040039,1472.670044,1443.48999,1451.150024,1451.150024,3941010000,6.1125,6.235,5.98,6.04,5.471841,3803200
5,2007-11-16,1453.089966,1462.180054,1443.98999,1458.73999,1458.73999,4168870000,6.0425,6.07,5.85,5.945,5.385777,3119200
6,2007-11-19,1456.699951,1456.699951,1430.420044,1433.27002,1433.27002,4119650000,5.9125,5.9125,5.6,5.6175,5.089084,4424000
7,2007-11-20,1434.51001,1452.640015,1419.280029,1439.699951,1439.699951,4875150000,5.5975,5.6425,5.34,5.5,4.982636,3650000
8,2007-11-21,1434.709961,1436.400024,1415.640015,1416.77002,1416.77002,4076230000,5.4525,5.7975,5.3625,5.6275,5.098142,3576400
9,2007-11-23,1417.619995,1440.859985,1417.619995,1440.699951,1440.699951,1612720000,5.7025,5.9525,5.6375,5.8325,5.28386,1584800
10,2007-11-26,1440.73999,1446.089966,1406.099976,1407.219971,1407.219971,3706470000,5.8325,5.9475,5.605,5.605,5.0777589999999995,3322800
11,2007-11-27,1409.589966,1429.48999,1407.430054,1428.22998,1428.22998,4320720000,5.7175,6.09,5.7175,5.9375,5.378981,4412400
12,2007-11-28,1432.949951,1471.619995,1432.949951,1469.02002,1469.02002,4508020000,6.0,6.285,5.92,6.25,5.6620870000000005,3631200
13,2007-11-29,1467.410034,1473.810059,1458.359985,1469.719971,1469.719971,3524730000,6.14,6.2225,6.075,6.14,5.562433,2119200
14,2007-11-30,1471.829956,1488.939941,1470.890015,1481.140015,1481.140015,4422200000,6.325,6.4425,6.225,6.3325,5.736825,2768400
15,2007-12-03,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,3323250000,6.2825,6.36,6.1225,6.1425,5.564698,1258800
16,2007-12-04,1471.339966,1471.339966,1460.660034,1462.790039,1462.790039,3343620000,6.035,6.15,5.9675,6.075,5.503549,1704400
17,2007-12-05,1465.219971,1486.089966,1465.219971,1485.01001,1485.01001,3663660000,6.105,6.2275,5.93,6.02,5.453722,2385600
18,2007-12-06,1484.589966,1508.02002,1482.189941,1507.339966,1507.339966,3568570000,6.0675,6.4525,6.0375,6.4525,5.845537,3202400
19,2007-12-07,1508.599976,1510.630005,1502.660034,1504.660034,1504.660034,3177710000,6.4625,6.7025,6.4375,6.6575,6.031254,2369200
20,2007-12-10,1505.109985,1518.27002,1504.959961,1515.959961,1515.959961,2911760000,6.69,6.74,6.5175,6.7325,6.0992,1169200
21,2007-12-11,1516.680054,1523.569946,1475.98999,1477.650024,1477.650024,4080180000,6.7525,7.0,6.6175,6.625,6.001812,5040000
22,2007-12-12,1487.579956,1511.959961,1468.22998,1486.589966,1486.589966,4482120000,6.8425,6.8775,6.2575,6.365,5.766268,4634000
23,2007-12-13,1483.27002,1489.400024,1469.209961,1488.410034,1488.410034,3635170000,6.3025,6.4825,6.1525,6.4375,5.831949,3765600
24,2007-12-14,1486.189941,1486.670044,1467.780029,1467.949951,1467.949951,3401050000,6.375,6.5525,6.3075,6.4725,5.863657,2207200
25,2007-12-17,1465.050049,1465.050049,1445.430054,1445.900024,1445.900024,3569030000,6.43,6.5375,6.2625,6.27,5.680205,1761600
26,2007-12-18,1445.920044,1460.160034,1435.650024,1454.97998,1454.97998,3723690000,6.3175,6.45,6.26,6.43,5.825153,1378000
27,2007-12-19,1454.699951,1464.420044,1445.310059,1453.0,1453.0,3401300000,6.425,6.555,6.345,6.5175,5.904423,1136000
