,Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y
0,2007-11-09,1467.589966,1474.089966,1448.51001,1453.699951,1453.699951,4587050000,11.28,12.24,11.28,12.03,10.379344,5027400
1,2007-11-12,1453.660034,1464.939941,1438.530029,1439.180054,1439.180054,4192520000,12.05,12.7,11.89,11.92,10.284435,5663100
2,2007-11-13,1441.349976,1481.369995,1441.349976,1481.050049,1481.050049,4141310000,12.1,12.55,12.06,12.43,10.724456,5769700
3,2007-11-14,1483.400024,1492.140015,1466.469971,1470.579956,1470.579956,4031470000,12.44,13.2,12.44,12.64,10.905645,7326400
4,2007-11-15,1468.040039,1472.670044,1443.48999,1451.150024,1451.150024,3941010000,12.56,12.81,12.25,12.32,10.629552,4754500
5,2007-11-16,1453.089966,1462.180054,1443.98999,1458.73999,1458.73999,4168870000,12.38,12.57,11.97,12.16,10.491503999999999,4846300
6,2007-11-19,1456.699951,1456.699951,1430.420044,1433.27002,1433.27002,4119650000,12.0,12.14,11.21,11.25,9.706367,8438600
7,2007-11-20,1434.51001,1452.640015,1419.280029,1439.699951,1439.699951,4875150000,11.5,12.01,10.46,11.53,9.947946,18469900
8,2007-11-21,1434.709961,1436.400024,1415.640015,1416.77002,1416.77002,4076230000,11.46,11.46,10.87,10.96,9.456161,8650300
9,2007-11-23,1417.619995,1440.859985,1417.619995,1440.699951,1440.699951,1612720000,11.04,11.55,11.01,11.38,9.818532000000001,2802800
10,2007-11-26,1440.73999,1446.089966,1406.099976,1407.219971,1407.219971,3706470000,11.4,11.41,10.57,10.58,9.128302,8334500
11,2007-11-27,1409.589966,1429.48999,1407.430054,1428.22998,1428.22998,4320720000,10.71,10.92,10.15,10.41,8.981627,8769100
12,2007-11-28,1432.949951,1471.619995,1432.949951,1469.02002,1469.02002,4508020000,10.53,10.99,10.47,10.69,9.223207,8369700
13,2007-11-29,1467.410034,1473.810059,1458.359985,1469.719971,1469.719971,3524730000,10.67,10.78,10.27,10.47,9.033398,5957700
14,2007-11-30,1471.829956,1488.939941,1470.890015,1481.140015,1481.140015,4422200000,10.78,12.15,10.77,11.97,10.327577,16256800
15,2007-12-03,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,3323250000,11.77,12.5,11.63,12.34,10.646803,8662400
16,2007-12-04,1471.339966,1471.339966,1460.660034,1462.790039,1462.790039,3343620000,12.24,12.48,12.02,12.02,10.370714999999999,6032200
17,2007-12-05,1465.219971,1486.089966,1465.219971,1485.01001,1485.01001,3663660000,12.19,12.73,12.19,12.63,10.897012,6583500
18,2007-12-06,1484.589966,1508.02002,1482.189941,1507.339966,1507.339966,3568570000,12.63,14.29,12.5,14.12,12.18257,15820900
19,2007-12-07,1508.599976,1510.630005,1502.660034,1504.660034,1504.660034,3177710000,13.99,14.32,13.69,13.86,11.958244,7319100
20,2007-12-10,1505.109985,1518.27002,1504.959961,1515.959961,1515.959961,2911760000,13.87,14.83,13.75,14.76,12.734753999999999,7081200
21,2007-12-11,1516.680054,1523.569946,1475.98999,1477.650024,1477.650024,4080180000,14.85,14.9,13.07,13.21,11.39743,12300300
22,2007-12-12,1487.579956,1511.959961,1468.22998,1486.589966,1486.589966,4482120000,14.39,14.44,13.4,13.77,11.880595,10446300
23,2007-12-13,1483.27002,1489.400024,1469.209961,1488.410034,1488.410034,3635170000,13.68,14.05,13.41,13.97,12.053155,6886700
24,2007-12-14,1486.189941,1486.670044,1467.780029,1467.949951,1467.949951,3401050000,13.73,14.0,13.25,13.31,11.483713,5987300
25,2007-12-17,1465.050049,1465.050049,1445.430054,1445.900024,1445.900024,3569030000,13.23,14.02,13.03,13.54,11.682153999999999,7494500
26,2007-12-18,1445.920044,1460.160034,1435.650024,1454.97998,1454.97998,3723690000,13.61,13.81,13.26,13.41,11.569989999999999,7181400
27,2007-12-19,1454.699951,1464.420044,1445.310059,1453.0,1453.0,3401300000,13.37,13.5,12.92,13.17,11.362919,6919700
28,2007-12-20,1456.420044,1461.530029,1447.219971,1460.119995,1460.119995,3526890000,13.02,13.3,12.68,13.22,11.406062,4957000
29,2007-12-21,1463.189941,1485.400024,1463.189941,1484.459961,1484.459961,4508590000,13.46,13.75,12.96,13.41,11.569989999999999,8398700
30,2007-12-24,1484.550049,1497.630005,1484.550049,1496.449951,1496.449951,1267420000,13.31,13.94,13.23,13.83,11.932360000000001,1968900
31,2007-12-26,1495.119995,1498.849976,1488.199951,1497.660034,1497.660034,2010500000,14.0,14.0,13.4,13.76,11.871965,3632200
32,2007-12-27,1495.050049,1495.050049,1475.859985,1476.27002,1476.27002,2365770000,13.59,13.97,13.5,13.66,11.785689,4627500
33,2007-12-28,1479.829956,1488.01001,1471.699951,1478.48999,1478.48999,2420510000,13.76,13.82,12.98,13.1,11.302525,4693700
34,2007-12-31,1475.25,1475.829956,1465.130005,1468.359985,1468.359985,2440880000,13.03,13.68,12.81,13.17,11.362919,5823200
35,2008-01-02,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000,13.19,13.25,12.79,12.84,11.078202000000001,5731900
36,2008-01-03,1447.550049,1456.800049,1443.72998,1447.160034,1447.160034,3429500000,12.91,13.06,11.98,12.15,10.482877,6896300
37,2008-01-04,1444.01001,1444.01001,1411.189941,1411.630005,1411.630005,4166000000,12.01,12.01,10.66,10.92,9.42165,13329800
38,2008-01-07,1414.069946,1423.869995,1403.449951,1416.180054,1416.180054,4221260000,11.0,11.24,10.37,10.96,9.456161,11011100
39,2008-01-08,1415.709961,1430.280029,1388.300049,1390.189941,1390.189941,4705390000,11.0,11.4,10.25,10.27,8.860835,11053700
40,2008-01-09,1390.25,1409.189941,1378.699951,1409.130005,1409.130005,5351030000,10.25,10.53,9.78,10.53,9.085161,9569700
41,2008-01-10,1406.780029,1429.089966,1395.310059,1420.329956,1420.329956,5170490000,10.47,11.4,10.19,11.14,9.611460000000001,10340500
42,2008-01-11,1419.910034,1419.910034,1394.829956,1401.02002,1401.02002,4495840000,11.15,11.46,10.76,11.05,9.533812,11052900
43,2008-01-14,1402.910034,1417.890015,1402.910034,1416.25,1416.25,3682090000,11.02,11.62,10.91,11.54,9.956577000000001,9351000
44,2008-01-15,1411.880005,1411.880005,1380.599976,1380.949951,1380.949951,4601640000,11.37,11.59,11.15,11.3,9.749505000000001,9896500
45,2008-01-16,1377.410034,1391.98999,1364.27002,1373.199951,1373.199951,5440620000,11.01,12.01,11.01,11.51,9.930693,11934100
46,2008-01-17,1374.790039,1377.719971,1330.670044,1333.25,1333.25,5303130000,11.69,12.0,11.44,11.71,10.103251,13617100
47,2008-01-18,1333.900024,1350.280029,1312.51001,1325.189941,1325.189941,6004840000,11.81,12.24,11.67,12.13,10.46562,12328000
48,2008-01-22,1312.939941,1322.089966,1274.290039,1310.5,1310.5,6544690000,11.5,13.18,11.5,12.9,11.129968,10612100
49,2008-01-23,1310.410034,1339.089966,1270.050049,1338.599976,1338.599976,3241680000,12.69,14.62,12.44,14.45,12.467292,18143600
50,2008-01-24,1340.130005,1355.150024,1334.310059,1352.069946,1352.069946,5735300000,14.5,15.58,14.21,15.48,13.355963000000001,16479200
51,2008-01-25,1357.319946,1368.560059,1327.5,1330.609985,1330.609985,4882250000,15.89,17.0,15.43,15.43,13.312821,18354600
52,2008-01-28,1330.699951,1353.969971,1322.26001,1353.959961,1353.959961,4100930000,15.2,15.99,14.65,15.9,13.718333,14337100
53,2008-01-29,1355.939941,1364.930054,1350.189941,1362.300049,1362.300049,4232960000,15.85,16.98,15.5,16.73,14.434446,16434800
54,2008-01-30,1362.219971,1385.859985,1352.949951,1355.810059,1355.810059,4742760000,16.65,16.65,15.53,15.62,13.476754000000001,14453200
55,2008-01-31,1351.97998,1385.619995,1334.079956,1378.550049,1378.550049,4970290000,15.1,17.799999,14.95,17.26,14.891725,19952400
56,2008-02-01,1378.599976,1396.02002,1375.930054,1395.420044,1395.420044,4650770000,17.290001,17.780001000000006,16.52,17.309998999999998,14.93486,15763400
57,2008-02-04,1395.380005,1395.380005,1379.689941,1380.819946,1380.819946,3495780000,17.25,17.25,16.280001000000002,16.559998999999998,14.287775,9525200
58,2008-02-05,1380.280029,1380.280029,1336.640015,1336.640015,1336.640015,4315740000,16.290001,16.940001000000002,15.35,15.45,13.330079000000001,14526700
59,2008-02-06,1339.47998,1351.959961,1324.339966,1326.449951,1326.449951,4008120000,15.64,15.77,14.54,14.81,12.777896,10853000
60,2008-02-07,1324.01001,1347.160034,1316.75,1336.910034,1336.910034,4589160000,14.51,16.610001,14.49,15.04,12.976336,16956300
61,2008-02-08,1336.880005,1341.219971,1321.060059,1331.290039,1331.290039,3768490000,15.06,15.27,13.64,14.17,12.348867,12175100
62,2008-02-11,1331.920044,1341.400024,1320.319946,1339.130005,1339.130005,3593140000,14.19,14.74,13.75,14.5,12.636459,7083100
