,Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y
0,2007-11-09,1467.589966,1474.089966,1448.51001,1453.699951,1453.699951,4587050000,15.79,16.620001000000002,15.63,16.26,11.830434,3660100
1,2007-11-12,1453.660034,1464.939941,1438.530029,1439.180054,1439.180054,4192520000,16.299999,16.879998999999998,16.26,16.33,11.88136,3517500
2,2007-11-13,1441.349976,1481.369995,1441.349976,1481.050049,1481.050049,4141310000,16.370001000000002,17.08,16.370001000000002,17.08,12.427046,3364600
3,2007-11-14,1483.400024,1492.140015,1466.469971,1470.579956,1470.579956,4031470000,17.08,17.35,16.540001,16.58,12.063252,2865400
4,2007-11-15,1468.040039,1472.670044,1443.48999,1451.150024,1451.150024,3941010000,16.48,16.57,15.95,16.08,11.699467,3241200
5,2007-11-16,1453.089966,1462.180054,1443.98999,1458.73999,1458.73999,4168870000,15.45,15.89,14.38,14.75,10.73179,10017300
6,2007-11-19,1456.699951,1456.699951,1430.420044,1433.27002,1433.27002,4119650000,14.57,14.6,13.92,14.2,10.331614,9228700
7,2007-11-20,1434.51001,1452.640015,1419.280029,1439.699951,1439.699951,4875150000,14.17,14.38,13.5,13.9,10.113344,7365600
8,2007-11-21,1434.709961,1436.400024,1415.640015,1416.77002,1416.77002,4076230000,13.79,14.33,13.51,14.07,10.23703,7902400
9,2007-11-23,1417.619995,1440.859985,1417.619995,1440.699951,1440.699951,1612720000,14.18,14.7,14.16,14.56,10.593548,1943200
10,2007-11-26,1440.73999,1446.089966,1406.099976,1407.219971,1407.219971,3706470000,14.51,14.66,13.5,13.51,9.829589,6709900
11,2007-11-27,1409.589966,1429.48999,1407.430054,1428.22998,1428.22998,4320720000,13.6,14.17,13.58,14.05,10.222482000000001,7622500
12,2007-11-28,1432.949951,1471.619995,1432.949951,1469.02002,1469.02002,4508020000,14.33,15.27,14.15,15.26,11.102853,7367700
13,2007-11-29,1467.410034,1473.810059,1458.359985,1469.719971,1469.719971,3524730000,15.28,15.35,14.9,15.29,11.124680999999999,4667400
14,2007-11-30,1471.829956,1488.939941,1470.890015,1481.140015,1481.140015,4422200000,15.7,16.26,15.59,15.69,11.415711,4927200
15,2007-12-03,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,3323250000,15.88,15.88,15.48,15.62,11.36478,4497200
16,2007-12-04,1471.339966,1471.339966,1460.660034,1462.790039,1462.790039,3343620000,15.37,15.58,15.18,15.24,11.088303,3759900
17,2007-12-05,1465.219971,1486.089966,1465.219971,1485.01001,1485.01001,3663660000,15.32,15.85,15.32,15.7,11.422989,3393000
18,2007-12-06,1484.589966,1508.02002,1482.189941,1507.339966,1507.339966,3568570000,15.6,16.25,15.54,16.25,11.823153,2740800
19,2007-12-07,1508.599976,1510.630005,1502.660034,1504.660034,1504.660034,3177710000,16.26,16.469998999999998,16.09,16.16,11.75767,3552300
20,2007-12-10,1505.109985,1518.27002,1504.959961,1515.959961,1515.959961,2911760000,16.25,16.860001,16.110001,16.77,12.201494,2812800
21,2007-12-11,1516.680054,1523.569946,1475.98999,1477.650024,1477.650024,4080180000,16.66,16.74,15.55,15.59,11.342952,4978900
22,2007-12-12,1487.579956,1511.959961,1468.22998,1486.589966,1486.589966,4482120000,16.280001000000002,16.370001000000002,15.0,15.25,11.287442,9225600
23,2007-12-13,1483.27002,1489.400024,1469.209961,1488.410034,1488.410034,3635170000,15.07,15.41,14.3,14.74,10.909961000000001,6735800
24,2007-12-14,1486.189941,1486.670044,1467.780029,1467.949951,1467.949951,3401050000,14.52,14.62,14.15,14.17,10.488068,4998100
25,2007-12-17,1465.050049,1465.050049,1445.430054,1445.900024,1445.900024,3569030000,14.04,14.32,13.93,13.93,10.310431,4089400
26,2007-12-18,1445.920044,1460.160034,1435.650024,1454.97998,1454.97998,3723690000,13.97,14.29,13.82,14.2,10.510272,3576300
27,2007-12-19,1454.699951,1464.420044,1445.310059,1453.0,1453.0,3401300000,14.1,14.29,13.8,13.92,10.303025,2945100
28,2007-12-20,1456.420044,1461.530029,1447.219971,1460.119995,1460.119995,3526890000,13.89,14.11,13.62,13.88,10.273422,3492300
29,2007-12-21,1463.189941,1485.400024,1463.189941,1484.459961,1484.459961,4508590000,14.03,15.01,13.81,15.01,11.109802,7686600
30,2007-12-24,1484.550049,1497.630005,1484.550049,1496.449951,1496.449951,1267420000,14.87,15.09,14.75,14.92,11.043191,1817200
31,2007-12-26,1495.119995,1498.849976,1488.199951,1497.660034,1497.660034,2010500000,14.95,15.04,14.75,14.98,11.087593,2197200
32,2007-12-27,1495.050049,1495.050049,1475.859985,1476.27002,1476.27002,2365770000,14.98,15.12,14.69,14.69,10.872950999999999,3361300
33,2007-12-28,1479.829956,1488.01001,1471.699951,1478.48999,1478.48999,2420510000,14.66,14.99,14.66,14.79,10.946964,2468500
34,2007-12-31,1475.25,1475.829956,1465.130005,1468.359985,1468.359985,2440880000,14.69,15.1,14.66,14.76,10.924764,3318600
35,2008-01-02,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000,14.85,14.87,14.19,14.3,10.584291,4420600
36,2008-01-03,1447.550049,1456.800049,1443.72998,1447.160034,1447.160034,3429500000,14.37,14.46,14.06,14.08,10.421453,2743700
