,Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y
0,2007-11-09,1467.589966,1474.089966,1448.51001,1453.699951,1453.699951,4587050000,9.92,9.945,9.6975,9.76,8.519663000000001,3202000
1,2007-11-12,1453.660034,1464.939941,1438.530029,1439.180054,1439.180054,4192520000,9.7525,10.3625,9.7525,10.0775,8.796814999999997,3020400
2,2007-11-13,1441.349976,1481.369995,1441.349976,1481.050049,1481.050049,4141310000,10.145,10.46,10.1,10.345,9.030318,1549600
3,2007-11-14,1483.400024,1492.140015,1466.469971,1470.579956,1470.579956,4031470000,10.3225,10.36,10.0525,10.0575,8.779355,2134000
4,2007-11-15,1468.040039,1472.670044,1443.48999,1451.150024,1451.150024,3941010000,10.0025,10.065,9.86,9.89,8.63314,2853600
5,2007-11-16,1453.089966,1462.180054,1443.98999,1458.73999,1458.73999,4168870000,9.91,10.0225,9.7175,9.915,8.654963,2610400
6,2007-11-19,1456.699951,1456.699951,1430.420044,1433.27002,1433.27002,4119650000,9.8025,9.95,9.7425,9.7525,8.513114999999999,2583600
7,2007-11-20,1434.51001,1452.640015,1419.280029,1439.699951,1439.699951,4875150000,9.7525,10.0,9.6275,9.805,8.558945,2028800
8,2007-11-21,1434.709961,1436.400024,1415.640015,1416.77002,1416.77002,4076230000,9.6375,9.8475,9.6375,9.69,8.458556,1886000
9,2007-11-23,1417.619995,1440.859985,1417.619995,1440.699951,1440.699951,1612720000,9.775,10.03,9.625,9.925,8.663692,518800
10,2007-11-26,1440.73999,1446.089966,1406.099976,1407.219971,1407.219971,3706470000,10.0275,10.275,9.99,9.995,8.724794000000001,2096800
11,2007-11-27,1409.589966,1429.48999,1407.430054,1428.22998,1428.22998,4320720000,10.0875,10.1225,9.92,10.0375,8.761894999999999,1314800
12,2007-11-28,1432.949951,1471.619995,1432.949951,1469.02002,1469.02002,4508020000,10.175,10.3725,10.085,10.2175,8.919022,1305200
13,2007-11-29,1467.410034,1473.810059,1458.359985,1469.719971,1469.719971,3524730000,10.2175,10.25,10.0675,10.1575,8.866647,958000
14,2007-11-30,1471.829956,1488.939941,1470.890015,1481.140015,1481.140015,4422200000,10.3225,10.52,10.225,10.255,8.951752,1753600
15,2007-12-03,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,3323250000,10.305,10.36,10.165,10.165,8.873192999999997,1043200
16,2007-12-04,1471.339966,1471.339966,1460.660034,1462.790039,1462.790039,3343620000,10.0025,10.21,9.9725,10.1225,8.836094000000003,1514400
17,2007-12-05,1465.219971,1486.089966,1465.219971,1485.01001,1485.01001,3663660000,10.1475,10.24,10.0175,10.1275,8.840457,1292800
18,2007-12-06,1484.589966,1508.02002,1482.189941,1507.339966,1507.339966,3568570000,10.0625,10.0875,9.82,9.8675,8.613501,2349600
19,2007-12-07,1508.599976,1510.630005,1502.660034,1504.660034,1504.660034,3177710000,9.84,10.08,9.8125,10.08,8.798992,1816800
20,2007-12-10,1505.109985,1518.27002,1504.959961,1515.959961,1515.959961,2911760000,10.0875,10.0875,9.9125,9.9475,8.683330999999999,1348000
21,2007-12-11,1516.680054,1523.569946,1475.98999,1477.650024,1477.650024,4080180000,9.95,10.0,9.625,9.705,8.47165,1992800
22,2007-12-12,1487.579956,1511.959961,1468.22998,1486.589966,1486.589966,4482120000,9.8325,9.9125,9.175,9.42,8.222872,2808400
23,2007-12-13,1483.27002,1489.400024,1469.209961,1488.410034,1488.410034,3635170000,9.3625,9.4575,9.255,9.34,8.153037,1312800
24,2007-12-14,1486.189941,1486.670044,1467.780029,1467.949951,1467.949951,3401050000,9.2725,9.425,9.145,9.215,8.043921000000001,2260800
25,2007-12-17,1465.050049,1465.050049,1445.430054,1445.900024,1445.900024,3569030000,9.2225,9.5075,9.1325,9.18,8.013371000000001,1971600
26,2007-12-18,1445.920044,1460.160034,1435.650024,1454.97998,1454.97998,3723690000,9.2075,9.7275,9.2075,9.6,8.379996,2985600
27,2007-12-19,1454.699951,1464.420044,1445.310059,1453.0,1453.0,3401300000,9.5425,9.6375,9.415,9.505,8.297071,1314400
28,2007-12-20,1456.420044,1461.530029,1447.219971,1460.119995,1460.119995,3526890000,9.6275,9.6725,9.405,9.42,8.222872,1880000
29,2007-12-21,1463.189941,1485.400024,1463.189941,1484.459961,1484.459961,4508590000,9.42,9.55,9.39,9.4025,8.207594,2689600
30,2007-12-24,1484.550049,1497.630005,1484.550049,1496.449951,1496.449951,1267420000,9.405,9.5925,9.4,9.555,8.340713000000001,526800
31,2007-12-26,1495.119995,1498.849976,1488.199951,1497.660034,1497.660034,2010500000,9.47,9.6425,9.24,9.32,8.135582000000001,1181200
32,2007-12-27,1495.050049,1495.050049,1475.859985,1476.27002,1476.27002,2365770000,9.2075,9.305,9.0125,9.0625,7.910805,1504800
33,2007-12-28,1479.829956,1488.01001,1471.699951,1478.48999,1478.48999,2420510000,9.085,9.0975,8.8225,8.84,7.716578,1871600
34,2007-12-31,1475.25,1475.829956,1465.130005,1468.359985,1468.359985,2440880000,8.7725,9.0725,8.7725,8.985,7.843152000000001,1634800
35,2008-01-02,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000,8.9225,8.975,8.53,8.55,7.463433999999999,1436800
36,2008-01-03,1447.550049,1456.800049,1443.72998,1447.160034,1447.160034,3429500000,8.585,8.6675,8.21,8.265,7.214652,1702400
37,2008-01-04,1444.01001,1444.01001,1411.189941,1411.630005,1411.630005,4166000000,8.2225,8.2275,7.8225,7.9825,6.9680539999999995,2531200
38,2008-01-07,1414.069946,1423.869995,1403.449951,1416.180054,1416.180054,4221260000,8.0625,8.3725,7.98,8.12,7.088079,1954000
39,2008-01-08,1415.709961,1430.280029,1388.300049,1390.189941,1390.189941,4705390000,8.1975,8.375,7.915,7.935,6.926589,1676400
40,2008-01-09,1390.25,1409.189941,1378.699951,1409.130005,1409.130005,5351030000,7.95,8.015,7.595,7.875,6.874214,2144800
